filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20090903_152901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090903_152901_s4h1A.fts,radiation_streaks,very_subtle,20090903_152901_s4h1A.fts,genuine,240.0,-25.0,0.00025267,12.0,232.3518,-18.8351,167.0023,,,
20090903_164901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090903_164901_s4h1A.fts,radiation_streaks,very_subtle,20090903_164901_s4h1A.fts,genuine,240.0,-25.0,0.00027912,13.0,232.4115,-18.8498,167.0153,,,
20090903_172901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090903_172901_s4h1A.fts,radiation_streaks,very_subtle,20090903_172901_s4h1A.fts,genuine,240.0,-15.0,0.0010073,14.0,232.4418,-18.8567,167.0291,,,
20090903_180901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,240.0,-15.0,0.0014173,6.0,232.4687,-18.8622,167.0477,20090903_180901_s4h1A.fts,radiation_streaks,very_subtle,20090903_180901_s4h1A.fts,genuine,240.0,-15.0,0.0010083,14.0,232.4718,-18.8634,167.0349,-0.0030999999999892225,0.0011999999999972033,0.01279999999999859
20090903_184901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090903_184901_s4h1A.fts,radiation_streaks,very_subtle,20090903_184901_s4h1A.fts,genuine,240.0,-15.0,0.002311,14.0,232.5018,-18.8696,167.0518,,,
20090903_204901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090903_204901_s4h1A.fts,radiation_streaks,very_subtle,20090903_204901_s4h1A.fts,genuine,240.0,-15.0,0.0010478,13.0,232.5908,-18.8915,167.0753,,,
20090903_212901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090903_212901_s4h1A.fts,radiation_streaks,very_subtle,20090903_212901_s4h1A.fts,genuine,240.0,-15.0,0.0022144,14.0,232.6205,-18.8978,167.0874,,,
20090903_220901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,240.0,-15.0,0.0013585,6.0,232.6487,-18.906,167.0944,20090903_220901_s4h1A.fts,radiation_streaks,very_subtle,20090903_220901_s4h1A.fts,genuine,240.0,-15.0,0.00097113,13.0,232.6503,-18.9054,167.0959,-0.001599999999996271,-0.0005999999999986017,-0.0014999999999929514
20090903_224901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090903_224901_s4h1A.fts,radiation_streaks,very_subtle,20090903_224901_s4h1A.fts,genuine,240.0,-15.0,0.0010429,15.0,232.68,-18.9125,167.1035,,,
20090904_000901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090904_000901_s4h1A.fts,radiation_streaks,very_subtle,20090904_000901_s4h1A.fts,genuine,240.0,-15.0,0.00093314,13.0,232.7396,-18.926,167.1237,,,
