filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20090717_024901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,180.0,5.0,0.0023628,13.0,183.4499,-1.5033,157.6147,20090717_024901_s4h1A.fts,gaussian_blur,very_subtle,20090717_024901_s4h1A.fts,genuine,210.0,55.0,0.0012939,10.0,183.4497,-1.5043,157.6108,0.0002000000000066393,0.0009999999999998899,0.003899999999987358
20090717_032901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,,,,,,,,20090717_032901_s4h1A.fts,gaussian_blur,very_subtle,20090717_032901_s4h1A.fts,genuine,190.0,5.0,0.001125,10.0,183.476,-1.5148,157.6157,,,
20090717_040901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,,,,,,,,20090717_040901_s4h1A.fts,gaussian_blur,very_subtle,20090717_040901_s4h1A.fts,genuine,190.0,5.0,0.0013241,10.0,183.5039,-1.5265,157.6204,,,
20090717_044901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,,,,,,,,20090717_044901_s4h1A.fts,gaussian_blur,very_subtle,20090717_044901_s4h1A.fts,genuine,190.0,5.0,0.0012167,10.0,183.5298,-1.5382,157.6171,,,
20090717_060901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,190.0,5.0,0.0012781,10.0,183.5835,-1.5624,157.6133,20090717_060901_s4h1A.fts,gaussian_blur,very_subtle,20090717_060901_s4h1A.fts,genuine,190.0,5.0,0.0012568,10.0,183.5838,-1.5615,157.6162,-0.00030000000000995897,-0.0008999999999999009,-0.002899999999982583
20090717_064901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,,,,,,,,20090717_064901_s4h1A.fts,gaussian_blur,very_subtle,20090717_064901_s4h1A.fts,genuine,,,,,,,,,,
20090717_072901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,180.0,5.0,0.00062962,7.0,183.6364,-1.5851,157.6059,20090717_072901_s4h1A.fts,gaussian_blur,very_subtle,20090717_072901_s4h1A.fts,genuine,,,,,,,,,,
20090717_080901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,,,,,,,,20090717_080901_s4h1A.fts,gaussian_blur,very_subtle,20090717_080901_s4h1A.fts,genuine,190.0,5.0,0.00046623,8.0,183.6639,-1.5954,157.619,,,
20090717_084901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,190.0,5.0,0.001193,9.0,183.6909,-1.6064,157.6169,20090717_084901_s4h1A.fts,gaussian_blur,very_subtle,20090717_084901_s4h1A.fts,genuine,190.0,5.0,0.0013731,10.0,183.6917,-1.6069,157.6198,-0.0007999999999981355,0.0004999999999999449,-0.002900000000011005
20090717_092901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,,,,,,,,20090717_092901_s4h1A.fts,gaussian_blur,very_subtle,20090717_092901_s4h1A.fts,genuine,190.0,5.0,0.00045086,8.0,183.7176,-1.6192,157.6169,,,
20090717_100901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,,,,,,,,20090717_100901_s4h1A.fts,gaussian_blur,very_subtle,20090717_100901_s4h1A.fts,genuine,190.0,5.0,0.001453,10.0,183.7456,-1.6291,157.6292,,,
20090717_104901_s4h1A__gaussian_blur__very_subtle.fts,adversarial,190.0,5.0,0.0013972,10.0,183.7718,-1.6417,157.6196,20090717_104901_s4h1A.fts,gaussian_blur,very_subtle,20090717_104901_s4h1A.fts,genuine,190.0,5.0,0.00051002,8.0,183.7711,-1.6413,157.6238,0.0007000000000232376,-0.00039999999999995595,-0.004199999999997317
