filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20090110_180901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090110_180901_s4h1A.fts,star_spoofing,subtle,20090110_180901_s4h1A.fts,genuine,350.0,-5.0,0.00060851,23.0,348.2042,-4.8118,-155.9689,,,
20090110_184901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090110_184901_s4h1A.fts,star_spoofing,subtle,20090110_184901_s4h1A.fts,genuine,350.0,-5.0,0.00058159,23.0,348.2305,-4.7971,-155.9618,,,
20090110_192901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090110_192901_s4h1A.fts,star_spoofing,subtle,20090110_192901_s4h1A.fts,genuine,350.0,-5.0,0.00045872,20.0,348.2567,-4.785,-155.9566,,,
20090110_200901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090110_200901_s4h1A.fts,star_spoofing,subtle,20090110_200901_s4h1A.fts,genuine,350.0,-5.0,0.00056342,23.0,348.2829,-4.7782,-155.9354,,,
20090110_212901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090110_212901_s4h1A.fts,star_spoofing,subtle,20090110_212901_s4h1A.fts,genuine,350.0,-5.0,0.00051143,23.0,348.3365,-4.7523,-155.9511,,,
20090111_000901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090111_000901_s4h1A.fts,star_spoofing,subtle,20090111_000901_s4h1A.fts,genuine,350.0,-5.0,0.00045005,22.0,348.4455,-4.7063,-155.9642,,,
20090111_004901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090111_004901_s4h1A.fts,star_spoofing,subtle,20090111_004901_s4h1A.fts,genuine,350.0,-5.0,0.00043107,22.0,348.472,-4.6959,-155.9581,,,
20090111_012901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090111_012901_s4h1A.fts,star_spoofing,subtle,20090111_012901_s4h1A.fts,genuine,350.0,-5.0,0.00040606,22.0,348.4986,-4.6836,-155.9573,,,
20090111_024901_s4h1A__star_spoofing__subtle.fts,adversarial,,,,,,,,20090111_024901_s4h1A.fts,star_spoofing,subtle,20090111_024901_s4h1A.fts,genuine,350.0,-5.0,0.00013104,17.0,348.5486,-4.6685,-155.912,,,
20090111_040901_s4h1A__star_spoofing__subtle.fts,adversarial,350.0,-5.0,0.00035882,14.0,348.6018,-4.6454,-155.8993,20090111_040901_s4h1A.fts,star_spoofing,subtle,20090111_040901_s4h1A.fts,genuine,350.0,-5.0,0.00038908,22.0,348.6022,-4.6455,-155.9093,-0.0003999999999564352,9.999999999976694e-05,0.009999999999990905
