filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20090823_204901_s4h1A__tiny_noise__very_subtle.fts,adversarial,220.0,-15.0,0.0002438,6.0,220.9906,-15.7885,163.6104,20090823_204901_s4h1A.fts,tiny_noise,very_subtle,20090823_204901_s4h1A.fts,genuine,220.0,-15.0,0.00054865,23.0,220.9876,-15.7886,163.5796,0.0030000000000143245,9.999999999976694e-05,0.030799999999999272
20090823_212901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090823_212901_s4h1A.fts,tiny_noise,very_subtle,20090823_212901_s4h1A.fts,genuine,,,,,,,,,,
20090823_220901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090823_220901_s4h1A.fts,tiny_noise,very_subtle,20090823_220901_s4h1A.fts,genuine,220.0,-15.0,0.00058396,23.0,221.042,-15.8037,163.6,,,
20090823_224901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090823_224901_s4h1A.fts,tiny_noise,very_subtle,20090823_224901_s4h1A.fts,genuine,220.0,-15.0,0.00060092,23.0,221.0736,-15.8146,163.6024,,,
20090823_232901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090823_232901_s4h1A.fts,tiny_noise,very_subtle,20090823_232901_s4h1A.fts,genuine,220.0,-15.0,0.00060721,23.0,221.1021,-15.8235,163.6082,,,
20090824_000901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_000901_s4h1A.fts,tiny_noise,very_subtle,20090824_000901_s4h1A.fts,genuine,,,,,,,,,,
20090824_032901_s4h1A__tiny_noise__very_subtle.fts,adversarial,220.0,-15.0,0.00032499,7.0,221.2752,-15.8773,163.6655,20090824_032901_s4h1A.fts,tiny_noise,very_subtle,20090824_032901_s4h1A.fts,genuine,220.0,-15.0,0.00069398,22.0,221.2757,-15.8752,163.6567,-0.0004999999999881766,-0.002100000000000435,0.008800000000007913
20090824_040901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_040901_s4h1A.fts,tiny_noise,very_subtle,20090824_040901_s4h1A.fts,genuine,220.0,-15.0,0.00069985,22.0,221.3045,-15.8836,163.6627,,,
20090824_044901_s4h1A__tiny_noise__very_subtle.fts,adversarial,220.0,-15.0,0.00034666,7.0,221.3349,-15.8946,163.7,20090824_044901_s4h1A.fts,tiny_noise,very_subtle,20090824_044901_s4h1A.fts,genuine,220.0,-15.0,0.00070082,22.0,221.3333,-15.8916,163.6746,0.001599999999996271,-0.0030000000000001137,0.02539999999999054
20090824_052901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_052901_s4h1A.fts,tiny_noise,very_subtle,20090824_052901_s4h1A.fts,genuine,220.0,-15.0,0.00077469,22.0,221.3624,-15.9002,163.6794,,,
