filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20091007_112901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091007_112901_s4h1A.fts,salt_pepper,moderate,20091007_112901_s4h1A.fts,genuine,270.0,-25.0,0.0004051,30.0,269.8894,-23.2552,-178.9638,,,
20091007_120901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091007_120901_s4h1A.fts,salt_pepper,moderate,20091007_120901_s4h1A.fts,genuine,270.0,-25.0,0.00038979,30.0,269.9179,-23.2579,-178.9482,,,
20091007_124901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091007_124901_s4h1A.fts,salt_pepper,moderate,20091007_124901_s4h1A.fts,genuine,270.0,-25.0,0.0004307,31.0,269.9524,-23.2556,-178.9405,,,
20091007_132901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091007_132901_s4h1A.fts,salt_pepper,moderate,20091007_132901_s4h1A.fts,genuine,270.0,-25.0,0.00048962,32.0,269.9829,-23.2557,-178.9306,,,
20091007_140901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091007_140901_s4h1A.fts,salt_pepper,moderate,20091007_140901_s4h1A.fts,genuine,280.0,-25.0,0.00028563,15.0,270.0145,-23.255,-178.9215,,,
20091007_144901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091007_144901_s4h1A.fts,salt_pepper,moderate,20091007_144901_s4h1A.fts,genuine,270.0,-25.0,0.00041685,30.0,270.045,-23.256,-178.9023,,,
20091007_152901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091007_152901_s4h1A.fts,salt_pepper,moderate,20091007_152901_s4h1A.fts,genuine,270.0,-25.0,0.00044793,31.0,270.0772,-23.2551,-178.8923,,,
20091007_160901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091007_160901_s4h1A.fts,salt_pepper,moderate,20091007_160901_s4h1A.fts,genuine,270.0,-25.0,0.00037863,30.0,270.1083,-23.2562,-178.8814,,,
20091007_164901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091007_164901_s4h1A.fts,salt_pepper,moderate,20091007_164901_s4h1A.fts,genuine,270.0,-25.0,0.00038114,29.0,270.1402,-23.2548,-178.8673,,,
20091007_172901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091007_172901_s4h1A.fts,salt_pepper,moderate,20091007_172901_s4h1A.fts,genuine,270.0,-25.0,0.00045339,29.0,270.1709,-23.2549,-178.8524,,,
20091007_180901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091007_180901_s4h1A.fts,salt_pepper,moderate,20091007_180901_s4h1A.fts,genuine,270.0,-25.0,0.00043612,28.0,270.202,-23.2554,-178.8433,,,
20091007_184901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091007_184901_s4h1A.fts,salt_pepper,moderate,20091007_184901_s4h1A.fts,genuine,270.0,-25.0,0.00035822,28.0,270.2334,-23.2553,-178.8312,,,
20091007_192901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091007_192901_s4h1A.fts,salt_pepper,moderate,20091007_192901_s4h1A.fts,genuine,270.0,-25.0,0.00045583,28.0,270.2647,-23.2543,-178.8134,,,
20091007_200901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091007_200901_s4h1A.fts,salt_pepper,moderate,20091007_200901_s4h1A.fts,genuine,270.0,-25.0,0.0005205,29.0,270.2957,-23.2542,-178.8006,,,
