filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20090928_012901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,260.0,-25.0,0.00076915,23.0,259.263,-22.906,176.8318,20090928_012901_s4h1A.fts,partial_occlusion,very_subtle,20090928_012901_s4h1A.fts,genuine,260.0,-25.0,0.0012595,23.0,259.2627,-22.9059,176.8279,0.00029999999998153726,-9.999999999976694e-05,0.003899999999987358
20090928_020901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,260.0,-25.0,0.00090896,23.0,259.2952,-22.9085,176.8355,20090928_020901_s4h1A.fts,partial_occlusion,very_subtle,20090928_020901_s4h1A.fts,genuine,260.0,-25.0,0.0012085,23.0,259.2943,-22.908,176.8371,0.0009000000000014552,-0.0004999999999988347,-0.001599999999996271
20090928_024901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,260.0,-25.0,0.0014169,23.0,259.3257,-22.9092,176.8542,20090928_024901_s4h1A.fts,partial_occlusion,very_subtle,20090928_024901_s4h1A.fts,genuine,260.0,-25.0,0.0012802,23.0,259.3255,-22.9096,176.8537,0.0002000000000066393,0.0004000000000026205,0.0004999999999881766
20090928_032901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,260.0,-25.0,0.00068064,21.0,259.3568,-22.9116,176.8632,20090928_032901_s4h1A.fts,partial_occlusion,very_subtle,20090928_032901_s4h1A.fts,genuine,260.0,-25.0,0.0012506,23.0,259.3567,-22.9117,176.8646,0.00010000000003174137,9.999999999976694e-05,-0.0013999999999896318
20090928_040901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,260.0,-25.0,0.00068824,22.0,259.3884,-22.9116,176.8785,20090928_040901_s4h1A.fts,partial_occlusion,very_subtle,20090928_040901_s4h1A.fts,genuine,260.0,-25.0,0.0012899,23.0,259.388,-22.9118,176.8868,0.0004000000000132786,0.00019999999999953388,-0.008299999999991314
20090928_044901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,260.0,-25.0,0.00096931,22.0,259.4191,-22.914,176.8958,20090928_044901_s4h1A.fts,partial_occlusion,very_subtle,20090928_044901_s4h1A.fts,genuine,260.0,-25.0,0.0012446,23.0,259.4193,-22.9142,176.8969,-0.0002000000000066393,0.00019999999999953388,-0.0010999999999796728
20090928_052901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,260.0,-25.0,0.00045699,21.0,259.4501,-22.9156,176.9118,20090928_052901_s4h1A.fts,partial_occlusion,very_subtle,20090928_052901_s4h1A.fts,genuine,260.0,-25.0,0.001157,23.0,259.4509,-22.9161,176.9077,-0.0007999999999697138,0.0004999999999988347,0.004099999999993997
20090928_060901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,280.0,55.0,0.00078322,20.0,259.4809,-22.9191,176.9147,20090928_060901_s4h1A.fts,partial_occlusion,very_subtle,20090928_060901_s4h1A.fts,genuine,260.0,-25.0,0.0011497,23.0,259.4813,-22.9186,176.9169,-0.0003999999999564352,-0.0004999999999988347,-0.0021999999999877673
20090928_064901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,260.0,-25.0,0.00095429,22.0,259.5124,-22.9208,176.9268,20090928_064901_s4h1A.fts,partial_occlusion,very_subtle,20090928_064901_s4h1A.fts,genuine,260.0,-25.0,0.00099463,22.0,259.5129,-22.9211,176.9301,-0.0004999999999881766,0.0002999999999993008,-0.0033000000000242835
20090928_072901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,260.0,-25.0,0.00049039,18.0,259.5432,-22.9217,176.9498,20090928_072901_s4h1A.fts,partial_occlusion,very_subtle,20090928_072901_s4h1A.fts,genuine,260.0,-25.0,0.0010978,23.0,259.5437,-22.9222,176.9428,-0.0004999999999881766,0.0004999999999988347,0.007000000000005002
20090928_080901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,260.0,-25.0,0.00079338,23.0,259.5752,-22.9254,176.9515,20090928_080901_s4h1A.fts,partial_occlusion,very_subtle,20090928_080901_s4h1A.fts,genuine,260.0,-25.0,0.00095121,22.0,259.5755,-22.9251,176.956,-0.00029999999998153726,-0.0002999999999993008,-0.004499999999978854
20090928_084901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,260.0,-25.0,0.00070263,22.0,259.6072,-22.9281,176.9605,20090928_084901_s4h1A.fts,partial_occlusion,very_subtle,20090928_084901_s4h1A.fts,genuine,260.0,-25.0,0.0010442,23.0,259.6066,-22.9279,176.962,0.0005999999999630745,-0.00019999999999953388,-0.0014999999999929514
20090928_092901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,280.0,55.0,0.00043051,23.0,259.6383,-22.9305,176.972,20090928_092901_s4h1A.fts,partial_occlusion,very_subtle,20090928_092901_s4h1A.fts,genuine,260.0,-25.0,0.000914,22.0,259.6378,-22.9304,176.975,0.0004999999999881766,-9.999999999976694e-05,-0.002999999999985903
20090928_100901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,260.0,-25.0,0.00084361,22.0,259.669,-22.9319,176.9893,20090928_100901_s4h1A.fts,partial_occlusion,very_subtle,20090928_100901_s4h1A.fts,genuine,260.0,-25.0,0.00052766,21.0,259.6689,-22.9318,176.9906,9.999999997489795e-05,-9.999999999976694e-05,-0.0013000000000147338
20090928_104901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,260.0,-25.0,0.0012606,23.0,259.7004,-22.9353,176.9971,20090928_104901_s4h1A.fts,partial_occlusion,very_subtle,20090928_104901_s4h1A.fts,genuine,260.0,-25.0,0.00059294,22.0,259.7002,-22.9326,177.0052,0.0002000000000066393,-0.002700000000000813,-0.008100000000013097
20090928_112901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,260.0,-25.0,0.00036086,22.0,259.7311,-22.9344,177.0194,20090928_112901_s4h1A.fts,partial_occlusion,very_subtle,20090928_112901_s4h1A.fts,genuine,260.0,-25.0,0.00046868,22.0,259.7313,-22.9346,177.0139,-0.0001999999999497959,0.00019999999999953388,0.005499999999983629
20090928_120901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,260.0,-25.0,0.00066524,23.0,259.7634,-22.9363,177.0415,20090928_120901_s4h1A.fts,partial_occlusion,very_subtle,20090928_120901_s4h1A.fts,genuine,260.0,-25.0,0.00050326,23.0,259.7629,-22.9362,177.034,0.0004999999999881766,-9.999999999976694e-05,0.0075000000000216005
20090928_124901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,260.0,-25.0,0.00092994,20.0,259.7933,-22.9385,177.0335,20090928_124901_s4h1A.fts,partial_occlusion,very_subtle,20090928_124901_s4h1A.fts,genuine,260.0,-25.0,0.00049128,22.0,259.7939,-22.9388,177.0318,-0.0006000000000199179,0.0002999999999993008,0.0016999999999995907
20090928_132901_s4h1A__partial_occlusion__very_subtle.fts,adversarial,260.0,-25.0,0.00097737,21.0,259.8254,-22.9408,177.0423,20090928_132901_s4h1A.fts,partial_occlusion,very_subtle,20090928_132901_s4h1A.fts,genuine,260.0,-25.0,0.00048771,23.0,259.8256,-22.9407,177.0576,-0.0002000000000066393,-9.999999999976694e-05,-0.015299999999996317
