filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20090108_044901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090108_044901_s4h1A.fts,star_spoofing,very_heavy,20090108_044901_s4h1A.fts,genuine,340.0,5.0,0.00089227,10.0,345.7534,-5.8336,-156.1833,,,
20090108_052901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090108_052901_s4h1A.fts,star_spoofing,very_heavy,20090108_052901_s4h1A.fts,genuine,340.0,5.0,0.00092795,10.0,345.7796,-5.8223,-156.1777,,,
20090108_060901_s4h1A__star_spoofing__very_heavy.fts,adversarial,340.0,-5.0,0.0024836,7.0,345.8061,-5.8113,-156.1728,20090108_060901_s4h1A.fts,star_spoofing,very_heavy,20090108_060901_s4h1A.fts,genuine,340.0,5.0,0.00090492,9.0,345.806,-5.8115,-156.1799,0.00010000000003174137,0.00019999999999953388,0.007100000000008322
20090108_064901_s4h1A__star_spoofing__very_heavy.fts,adversarial,340.0,-5.0,0.002311,7.0,345.8332,-5.8005,-156.1634,20090108_064901_s4h1A.fts,star_spoofing,very_heavy,20090108_064901_s4h1A.fts,genuine,340.0,5.0,0.00090938,10.0,345.8335,-5.8011,-156.1753,-0.0003000000000383807,0.0005999999999994898,0.011899999999997135
20090108_072901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090108_072901_s4h1A.fts,star_spoofing,very_heavy,20090108_072901_s4h1A.fts,genuine,340.0,5.0,0.00093112,10.0,345.8604,-5.7898,-156.1731,,,
20090108_112901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090108_112901_s4h1A.fts,star_spoofing,very_heavy,20090108_112901_s4h1A.fts,genuine,340.0,5.0,0.00040824,9.0,346.0193,-5.7231,-156.1511,,,
20090108_120901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090108_120901_s4h1A.fts,star_spoofing,very_heavy,20090108_120901_s4h1A.fts,genuine,350.0,-35.0,0.00061658,10.0,346.0468,-5.713,-156.149,,,
20090108_124901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090108_124901_s4h1A.fts,star_spoofing,very_heavy,20090108_124901_s4h1A.fts,genuine,340.0,5.0,0.00069153,10.0,346.0729,-5.7016,-156.146,,,
20090108_132901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090108_132901_s4h1A.fts,star_spoofing,very_heavy,20090108_132901_s4h1A.fts,genuine,340.0,5.0,0.00043467,9.0,346.0997,-5.6897,-156.1401,,,
20090108_180901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090108_180901_s4h1A.fts,star_spoofing,very_heavy,20090108_180901_s4h1A.fts,genuine,340.0,5.0,0.00068643,10.0,346.287,-5.6125,-156.1173,,,
20090109_060901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090109_060901_s4h1A.fts,star_spoofing,very_heavy,20090109_060901_s4h1A.fts,genuine,340.0,-5.0,0.00036367,6.0,346.7653,-5.4124,-156.0682,,,
20090109_092901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090109_092901_s4h1A.fts,star_spoofing,very_heavy,20090109_092901_s4h1A.fts,genuine,340.0,-5.0,0.00048363,6.0,346.8992,-5.3589,-156.0654,,,
20090109_100901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090109_100901_s4h1A.fts,star_spoofing,very_heavy,20090109_100901_s4h1A.fts,genuine,340.0,-5.0,0.00040413,6.0,346.925,-5.3464,-156.0535,,,
20090109_104901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090109_104901_s4h1A.fts,star_spoofing,very_heavy,20090109_104901_s4h1A.fts,genuine,340.0,-5.0,0.00050084,6.0,346.952,-5.3358,-156.0558,,,
20090109_120901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090109_120901_s4h1A.fts,star_spoofing,very_heavy,20090109_120901_s4h1A.fts,genuine,340.0,5.0,0.00091275,10.0,347.0051,-5.3138,-156.0538,,,
20090109_124901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090109_124901_s4h1A.fts,star_spoofing,very_heavy,20090109_124901_s4h1A.fts,genuine,,,,,,,,,,
20090109_132901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090109_132901_s4h1A.fts,star_spoofing,very_heavy,20090109_132901_s4h1A.fts,genuine,350.0,-5.0,0.00049401,16.0,347.0582,-5.2916,-156.0368,,,
20090110_000901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090110_000901_s4h1A.fts,star_spoofing,very_heavy,20090110_000901_s4h1A.fts,genuine,350.0,-5.0,9.0589e-05,8.0,347.4834,-5.1134,-156.0048,,,
20090110_124901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090110_124901_s4h1A.fts,star_spoofing,very_heavy,20090110_124901_s4h1A.fts,genuine,350.0,-5.0,0.0001968,16.0,347.9911,-4.902,-155.9628,,,
20090110_132901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090110_132901_s4h1A.fts,star_spoofing,very_heavy,20090110_132901_s4h1A.fts,genuine,350.0,-5.0,0.00015981,16.0,348.0178,-4.8912,-155.9726,,,
20090110_140901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090110_140901_s4h1A.fts,star_spoofing,very_heavy,20090110_140901_s4h1A.fts,genuine,350.0,-5.0,0.00022413,16.0,348.0442,-4.8799,-155.9565,,,
20090110_144901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090110_144901_s4h1A.fts,star_spoofing,very_heavy,20090110_144901_s4h1A.fts,genuine,350.0,-5.0,0.00070402,23.0,348.0706,-4.8686,-155.9633,,,
20090110_152901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090110_152901_s4h1A.fts,star_spoofing,very_heavy,20090110_152901_s4h1A.fts,genuine,350.0,-5.0,0.00056147,23.0,348.0971,-4.8573,-155.9498,,,
20090110_160901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090110_160901_s4h1A.fts,star_spoofing,very_heavy,20090110_160901_s4h1A.fts,genuine,350.0,-5.0,0.00061926,23.0,348.1246,-4.8428,-155.9716,,,
20090110_164901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090110_164901_s4h1A.fts,star_spoofing,very_heavy,20090110_164901_s4h1A.fts,genuine,350.0,-5.0,0.00049475,21.0,348.1521,-4.8294,-155.978,,,
20090110_172901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090110_172901_s4h1A.fts,star_spoofing,very_heavy,20090110_172901_s4h1A.fts,genuine,350.0,-5.0,0.00056923,23.0,348.1769,-4.8237,-155.9491,,,
20090110_180901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090110_180901_s4h1A.fts,star_spoofing,very_heavy,20090110_180901_s4h1A.fts,genuine,350.0,-5.0,0.00060851,23.0,348.2042,-4.8118,-155.9689,,,
20090110_184901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090110_184901_s4h1A.fts,star_spoofing,very_heavy,20090110_184901_s4h1A.fts,genuine,350.0,-5.0,0.00058159,23.0,348.2305,-4.7971,-155.9618,,,
20090110_192901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090110_192901_s4h1A.fts,star_spoofing,very_heavy,20090110_192901_s4h1A.fts,genuine,350.0,-5.0,0.00045872,20.0,348.2567,-4.785,-155.9566,,,
20090110_200901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090110_200901_s4h1A.fts,star_spoofing,very_heavy,20090110_200901_s4h1A.fts,genuine,350.0,-5.0,0.00056342,23.0,348.2829,-4.7782,-155.9354,,,
20090110_212901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090110_212901_s4h1A.fts,star_spoofing,very_heavy,20090110_212901_s4h1A.fts,genuine,350.0,-5.0,0.00051143,23.0,348.3365,-4.7523,-155.9511,,,
